State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Tamil Nadu,Kanyakumari,Kanyakumari Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,October to March,India,Information not available,Trivandrum International Airport,Kanyakumari Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,85.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Tiruchirappalli,Sri Ranganathaswamy Temple Srirangam,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,October to March,India,Information not available,Tiruchirappalli International Airport,Tiruchirappalli Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.0,0.0,0.0,85.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Tiruchirappalli,Kallanai Dam,Monument,Unknown,1.0,4.5,40.0,Yes,Open All Days,Historical,Yes,0.45,October to March,India,Information not available,Tiruchirappalli International Airport,Tiruchirappalli Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Bademiya,October to March,Mumbai Special Cuisine,9.0,0.0,0.0,85.0,Yes,Non-Religious,27,0,8.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Coimbatore,Siruvani Waterfalls,Waterfall,Ancient,1.5,4.5,0.0,No,Open All Days,Nature,Yes,0.1,October to March,India,Information not available,Coimbatore International Airport,Coimbatore Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Cherrapunji Famous Restaurant,October to March,Goa Special Cuisine,9.0,0.0,0.0,85.0,No,Non-Religious,21,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Velankanni,Velankanni Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,October to March,India,Information not available,Tiruchirappalli International Airport,Nagapattinam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,85.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Hogenakkal,Hogenakkal Falls,Waterfall,Ancient,1.5,4.5,0.0,No,Open All Days,Nature,Yes,0.1,October to March,India,Information not available,Salem Airport,Dharmapuri Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Cherrapunji Famous Restaurant,October to March,Goa Special Cuisine,9.0,0.0,0.0,85.0,No,Non-Religious,21,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamil Nadu,Coonoor,Dolphin's Nose Viewpoint,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,October to March,India,Information not available,Coimbatore International Airport,Coonoor Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.0,0.0,0.0,85.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Tamil Nadu rates""}",₹25,₹12,₹20,₹6,₹35,₹14,₹35,₹14,₹25,₹12,₹14-18/km,2025 Tamil Nadu rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Thekkady,Periyar Wildlife Sanctuary,Wildlife,Ancient,2.0,4.5,200.0,Unknown,Unknown,Famous for Ranthambore National Park and tiger reserve,Unknown,0.095,September to March,India,Information not available,Madurai Airport,Kottayam Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.0,0.0,0.0,88.0,Unknown,Unknown,92,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Thekkady,Periyar Lake,Lake,Ancient,2.0,4.5,0.0,Yes,Open All Days,Nature,Yes,0.0849999999999999,September to March,India,Information not available,Madurai Airport,Kottayam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Ahdoos,October to March,Hyderabad Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,34,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Kovalam,Lighthouse Beach Kovalam,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Trivandrum International Airport,Trivandrum Central,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Kovalam,Hawa Beach Kovalam,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Trivandrum International Airport,Trivandrum Central,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Varkala,Papanasam Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Trivandrum International Airport,Varkala Sivagiri Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Bekal,Bekal Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Mangalore International Airport,Kasaragod Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Kozhikode,Mananchira Square,Garden,Unknown,1.5,4.4,20.0,Yes,Open All Days,Tiered gardens with murals of Lord Krishna,Yes,0.08,September to March,India,Information not available,Calicut International Airport,Kozhikode Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,Lal Chowk,Ahdoos,October to March,Srinagar Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,79,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Alappuzha,Marari Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Cochin International Airport,Alappuzha Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Kannur,Muzhappilangad Drive-in Beach,Beach,Ancient,2.0,4.5,0.0,Yes,Open All Days,Scenic,Yes,0.1,September to March,India,Information not available,Kannur International Airport,Kannur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Medium,No,2.0,No,Yes,Yes,1000.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Brittos,October to March,Goa Special Cuisine,9.0,0.0,0.0,88.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kerala,Idukki,Ramakkalmedu View Point,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,September to March,India,Information not available,Cochin International Airport,Kottayam Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.0,0.0,0.0,88.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
