State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Himachal Pradesh,Manali,Hadimba Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & October,India,Information not available,Kullu-Manali Airport,Joginder Nagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.2,32.2483526,77.18157269999999,88.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Dharamshala,Tsuglagkhang Complex,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & October,India,Information not available,Kangra Airport,Pathankot Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.2,32.2324492,76.3240419,88.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Dharamshala,Bhagsu Waterfall,Waterfall,Ancient,1.5,4.5,0.0,No,Open All Days,Nature,Yes,0.1,March to June & October,India,Information not available,Kangra Airport,Pathankot Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Anjuna Flea Market, Mapusa Market, Calangute Market",Cherrapunji Famous Restaurant,October to March,Goa Special Cuisine,9.2,32.2475188,76.3376691,88.0,No,Non-Religious,21,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Kullu,Bijli Mahadev Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & October,India,Information not available,Kullu-Manali Airport,Joginder Nagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.2,31.9233442,77.1503615,88.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Spiti,Key Monastery,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & October,India,Information not available,Kullu-Manali Airport,Shimla Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.2,32.2978346,78.01193119999999,88.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Spiti,Chandratal Lake,Lake,Ancient,2.0,4.5,0.0,Yes,Open All Days,Nature,Yes,0.0849999999999999,March to June & October,India,Information not available,Kullu-Manali Airport,Shimla Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Ahdoos,October to March,Hyderabad Special Cuisine,9.2,32.4823581,77.6156642,88.0,No,Non-Religious,34,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Kasauli,Christ Church Kasauli,Monument,Unknown,1.0,4.5,40.0,Yes,Open All Days,Historical,Yes,0.45,March to June & October,India,Information not available,Chandigarh International Airport,Kalka Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Bademiya,October to March,Mumbai Special Cuisine,9.2,30.9012699,76.96536909999999,88.0,Yes,Non-Religious,27,0,8.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Kasol,Parvati Valley,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & September to November,India,Information not available,Kullu-Manali Airport,Joginder Nagar Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.3,32.0100825,77.3148775,89.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Bir Billing,Bir Paragliding Site,Adventure,Unknown,1.75,4.35,1000.0,Yes,Open All Days,Habitat for many species of deer and other animals,Yes,0.04,March to June & September to November,India,Information not available,Kangra Airport,Pathankot Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,Silvassa Main Market,Silvassa Famous Restaurant,October to March,Silvassa Special Cuisine,9.3,32.0347411,76.7166944,89.0,No,Non-Religious,88,0,4.699999999999999,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.35,0,,5,,,,,,,"Adventure, Foodie, History, Popular",Any Time,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Bir Billing,Chokling Monastery,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & September to November,India,Information not available,Kangra Airport,Pathankot Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.3,32.0367413,76.71189989999999,89.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Tirthan Valley,Tirthan River,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & September to November,India,Information not available,Kullu-Manali Airport,Shimla Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.3,31.62633009999999,77.42212669999999,89.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Kalpa,Kinnaur Kailash View Point,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & September to November,India,Information not available,Shimla Airport,Shimla Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.3,31.5381895,78.2505479,89.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Kalpa,Roghi Village,Heritage Site,Unknown,2.0,4.5,60.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & September to November,India,Information not available,Shimla Airport,Shimla Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.3,31.5123269,78.2298139,89.0,Unknown,Unknown,105,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"History, Popular",Morning / Afternoon,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jammu & Kashmir,Srinagar,Dal Lake,Lake,Ancient,2.0,4.5,0.0,Yes,Open All Days,Nature,Yes,0.0849999999999999,April to October,India,Information not available,Sheikh ul-Alam International Airport,Srinagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Ahdoos,October to March,Hyderabad Special Cuisine,9.4,34.08,74.8,92.0,No,Non-Religious,34,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jammu & Kashmir,Srinagar,Mughal Gardens,Garden,Unknown,1.5,4.4,20.0,Yes,Open All Days,Tiered gardens with murals of Lord Krishna,Yes,0.08,April to October,India,Information not available,Sheikh ul-Alam International Airport,Srinagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,Lal Chowk,Ahdoos,October to March,Srinagar Special Cuisine,9.4,34.08,74.8,92.0,No,Non-Religious,79,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jammu & Kashmir,Gulmarg,Apharwat Peak,Hilltop,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,April to October,India,Information not available,Sheikh ul-Alam International Airport,Srinagar Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.4,34.0483704,74.3804791,92.0,Unknown,Unknown,100,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jammu & Kashmir,Pahalgam,Betaab Valley,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,April to October,India,Information not available,Sheikh ul-Alam International Airport,Anantnag Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.4,34.054685,75.36362629999999,92.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jammu & Kashmir,Sonmarg,Thajiwas Glacier,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,April to October,India,Information not available,Sheikh ul-Alam International Airport,Srinagar Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.4,34.3031616,75.293111,92.0,Unknown,Unknown,103,2,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
